Edge 	Weight
6364 - 963 	1716 
2015 - 964 	1502 
3348 - 965 	475 
4161 - 966 	754 
4610 - 967 	952 
7565 - 968 	971 
3919 - 969 	898 
6553 - 970 	322 
7409 - 971 	3601 
5483 - 972 	3272 
9035 - 973 	1015 
9592 - 974 	2491 
567 - 975 	153 
777 - 976 	105 
1179 - 977 	712 
5608 - 978 	2856 
8481 - 979 	539 
7780 - 980 	1617 
2977 - 981 	1930 
6395 - 982 	974 
6976 - 983 	284 
3131 - 984 	436 
6035 - 985 	865 
2108 - 986 	610 
5481 - 987 	95 
9013 - 988 	279 
2054 - 989 	601 
1639 - 990 	113 
4860 - 991 	1119 
774 - 992 	1257 
7193 - 993 	1523 
2787 - 994 	329 
7958 - 995 	1476 
3873 - 996 	1191 
8039 - 997 	1054 
4073 - 998 	514 
1484 - 999 	1455 
9308 - 1000 	493 
7771 - 1001 	3173 
4778 - 1002 	206 
90 - 1003 	1000 
7492 - 1004 	462 
1457 - 1005 	911 
4059 - 1006 	671 
5501 - 1007 	463 
5295 - 1008 	1473 
2664 - 1009 	1149 
9721 - 1010 	1269 
1792 - 1011 	96 
7053 - 1012 	473 
3525 - 1013 	1053 
2376 - 1014 	179 
7598 - 1015 	393 
768 - 1016 	1829 
864 - 1017 	1511 
7413 - 1018 	1354 
6718 - 1019 	409 
6552 - 1020 	662 
8099 - 1021 	2413 
9455 - 1022 	200 
1927 - 1023 	1238 
749 - 1024 	521 
5064 - 1025 	1197 
9693 - 1026 	965 
3881 - 1027 	934 
4488 - 1028 	202 
1523 - 1029 	968 
1150 - 1030 	37 
4138 - 1031 	623 
5636 - 1032 	803 
8992 - 1033 	736 
2860 - 1034 	777 
2792 - 1035 	580 
7514 - 1036 	2512 
1744 - 1037 	572 
2327 - 1038 	730 
1780 - 1039 	2055 
8151 - 1040 	2444 
3620 - 1041 	989 
6594 - 1042 	2828 
6843 - 1043 	289 
1576 - 1044 	2639 
1301 - 1045 	2183 
5160 - 1046 	724 
7106 - 1047 	868 
5656 - 1048 	768 
8354 - 1049 	1487 
3493 - 1050 	570 
4553 - 1051 	1512 
2936 - 1052 	259 
1694 - 1053 	1657 
447 - 1054 	480 
491 - 1055 	137 
1004 - 1056 	941 
1103 - 1057 	1702 
1648 - 1058 	1027 
9217 - 1059 	17 
2433 - 1060 	1071 
3287 - 1061 	724 
4091 - 1062 	935 
1427 - 1063 	11 
8844 - 1064 	30 
96 - 1065 	1519 
7163 - 1066 	744 
5247 - 1067 	604 
340 - 1068 	3339 
800 - 1069 	691 
2356 - 1070 	39 
4582 - 1071 	1383 
9418 - 1072 	68 
2992 - 1073 	440 
9483 - 1074 	554 
5269 - 1075 	1059 
3418 - 1076 	1715 
240 - 1077 	90 
8196 - 1078 	649 
5270 - 1079 	52 
1909 - 1080 	1340 
7095 - 1081 	2023 
7727 - 1082 	939 
2128 - 1083 	366 
7802 - 1084 	506 
8694 - 1085 	1183 
9167 - 1086 	2385 
10 - 1087 	631 
1554 - 1088 	501 
1854 - 1089 	2137 
8808 - 1090 	498 
6509 - 1091 	450 
666 - 1092 	951 
4018 - 1093 	533 
1703 - 1094 	2732 
1355 - 1095 	1481 
5235 - 1096 	1002 
3942 - 1097 	1915 
4061 - 1098 	568 
3679 - 1099 	108 
5934 - 1100 	4494 
1253 - 1101 	1347 
2893 - 1102 	1506 
0 - 1103 	819 
1225 - 1104 	1947 
4071 - 1105 	2607 
2028 - 1106 	1358 
5582 - 1107 	631 
2819 - 1108 	5074 
7833 - 1109 	1059 
2475 - 1110 	1465 
9875 - 1111 	1252 
5585 - 1112 	1025 
3105 - 1113 	1359 
4278 - 1114 	2052 
9928 - 1115 	735 
7295 - 1116 	1074 
8984 - 1117 	524 
3968 - 1118 	839 
4165 - 1119 	923 
9167 - 1120 	470 
6420 - 1121 	2662 
861 - 1122 	318 
6016 - 1123 	105 
2418 - 1124 	1259 
2040 - 1125 	110 
9048 - 1126 	2121 
9388 - 1127 	702 
1418 - 1128 	1321 
8307 - 1129 	982 
3841 - 1130 	2000 
9558 - 1131 	922 
5408 - 1132 	971 
1582 - 1133 	1315 
7553 - 1134 	633 
2147 - 1135 	1107 
4865 - 1136 	168 
4366 - 1137 	82 
3992 - 1138 	1031 
1876 - 1139 	947 
455 - 1140 	751 
1656 - 1141 	455 
8338 - 1142 	537 
990 - 1143 	937 
1803 - 1144 	181 
6330 - 1145 	2517 
1330 - 1146 	1924 
3531 - 1147 	2598 
7719 - 1148 	311 
2307 - 1149 	1927 
6967 - 1150 	321 
8796 - 1151 	751 
4633 - 1152 	2065 
1993 - 1153 	625 
6105 - 1154 	162 
1658 - 1155 	739 
9530 - 1156 	606 
9297 - 1157 	1044 
1458 - 1158 	1409 
2254 - 1159 	542 
5209 - 1160 	3802 
8452 - 1161 	1290 
3007 - 1162 	278 
9741 - 1163 	1349 
3089 - 1164 	620 
6273 - 1165 	500 
1482 - 1166 	1032 
3872 - 1167 	2589 
4834 - 1168 	770 
3195 - 1169 	371 
8372 - 1170 	733 
4601 - 1171 	329 
4439 - 1172 	1418 
9596 - 1173 	2340 
866 - 1174 	133 
9804 - 1175 	678 
7424 - 1176 	883 
5501 - 1177 	550 
9201 - 1178 	55 
9288 - 1179 	1633 
8269 - 1180 	2769 
3149 - 1181 	1131 
1288 - 1182 	977 
8866 - 1183 	110 
674 - 1184 	1637 
8570 - 1185 	2246 
2291 - 1186 	1069 
1451 - 1187 	346 
9706 - 1188 	1694 
1204 - 1189 	3173 
3602 - 1190 	293 
8115 - 1191 	1541 
9583 - 1192 	264 
7157 - 1193 	1834 
7530 - 1194 	1891 
5062 - 1195 	1353 
2529 - 1196 	579 
6596 - 1197 	1878 
6711 - 1198 	516 
4574 - 1199 	1787 
3401 - 1200 	550 
8653 - 1201 	695 
774 - 1202 	1793 
650 - 1203 	339 
4344 - 1204 	1071 
4565 - 1205 	2462 
5681 - 1206 	394 
